"Metric","Scenario","all-off_n","all-off","rt-on_n","rt-on","app-off_n","app-off","all-on_n","all-on","FullPct","AppPct","RtPct","AspPct","SpreadPct","Sep"
"P50","json","7","0.691","7","0.692","7","0.725","7","0.729","5.5","0.55","0.14","4.77","3.02","49/49"
"P50","mvc","7","0.93","7","0.93","7","0.97","7","0.98","5.38","1.03","0","4.3","2.15","49/49"
"P50","plaintext","7","0.824","7","0.822","7","0.85","7","0.85","3.16","0","-0.24","3.41","1.88","49/49"
"P75","json","7","0.759","7","0.759","7","0.795","7","0.799","5.27","0.5","0","4.74","2.5","49/49"
"P75","mvc","7","1.03","7","1.03","7","1.07","7","1.08","4.85","0.93","0","3.88","2.91","49/49"
"P75","plaintext","7","1.21","7","1.21","7","1.25","7","1.25","3.31","0","0","3.31","1.65","49/49"
"P90","json","7","0.84","7","0.841","7","0.88","7","0.88","4.76","0","0.12","4.64","6.82","49/49"
"P90","mvc","7","1.23","7","1.23","7","1.3","7","1.31","6.5","0.77","0","5.69","6.92","49/49"
"P90","plaintext","7","1.5","7","1.5","7","1.54","7","1.54","2.67","0","0","2.67","1.95","49/49"
"P99","json","7","1.05","7","1.06","7","1.1","7","1.11","5.71","0.91","0.95","3.77","312.61","39/49"
"P99","mvc","7","1.57","7","1.59","7","1.68","7","1.68","7.01","0","1.27","5.66","157.74","49/49"
"P99","plaintext","7","2.12","7","2.1","7","2.17","7","2.18","2.83","0.46","-0.94","3.33","3.23","49/49"
