"Scenario","Arm","Iter","P50","P75","P90","P95","P99"
"json","all-off","1","0.691","0.76","0.841",,"1.05"
"json","all-off","2","0.685","0.753","0.834",,"1.05"
"json","all-off","3","0.685","0.752","0.833",,"1.04"
"json","all-off","4","0.691","0.759","0.84",,"1.05"
"json","all-off","5","0.696","0.76","0.84",,"1.11"
"json","all-off","6","0.691","0.758","0.846",,"1.45"
"json","all-off","7","0.694","0.761","0.839",,"1.07"
"json","all-on","1","0.729","0.799","0.88",,"1.11"
"json","all-on","2","0.723","0.794","0.88",,"1.1"
"json","all-on","3","0.731","0.801","0.89",,"1.11"
"json","all-on","4","0.745","0.801","0.94",,"4.57"
"json","all-on","5","0.729","0.799","0.88",,"1.11"
"json","all-on","6","0.735","0.799","0.89",,"1.91"
"json","all-on","7","0.724","0.796","0.88",,"1.1"
"json","app-off","1","0.725","0.794","0.88",,"1.1"
"json","app-off","2","0.737","0.807","0.89",,"1.12"
"json","app-off","3","0.729","0.799","0.88",,"1.1"
"json","app-off","4","0.727","0.797","0.88",,"1.11"
"json","app-off","5","0.722","0.792","0.88",,"1.1"
"json","app-off","6","0.721","0.79","0.87",,"1.09"
"json","app-off","7","0.725","0.795","0.88",,"1.12"
"json","rt-on","1","0.691","0.757","0.836",,"1.05"
"json","rt-on","2","0.692","0.759","0.838",,"1.06"
"json","rt-on","3","0.698","0.767","0.847",,"1.06"
"json","rt-on","4","0.695","0.749","0.85",,"4.24"
"json","rt-on","5","0.699","0.768","0.849",,"1.06"
"json","rt-on","6","0.689","0.755","0.835",,"1.06"
"json","rt-on","7","0.691","0.76","0.841",,"1.05"
"mvc","all-off","1","0.92","1.02","1.22",,"1.56"
"mvc","all-off","2","0.93","1.02","1.23",,"1.64"
"mvc","all-off","3","0.93","1.03","1.25",,"1.57"
"mvc","all-off","4","0.93","1.03","1.25",,"1.58"
"mvc","all-off","5","0.93","1.03","1.23",,"1.57"
"mvc","all-off","6","0.92","1.02","1.22",,"1.56"
"mvc","all-off","7","0.94","1.03","1.23",,"1.58"
"mvc","all-on","1","0.97","1.07","1.29",,"1.65"
"mvc","all-on","2","0.98","1.08","1.3",,"1.65"
"mvc","all-on","3","0.97","1.08","1.31",,"1.68"
"mvc","all-on","4","0.98","1.09","1.33",,"1.98"
"mvc","all-on","5","0.98","1.08","1.31",,"1.67"
"mvc","all-on","6","0.98","1.09","1.37",,"4.3"
"mvc","all-on","7","0.98","1.08","1.31",,"1.7"
"mvc","app-off","1","0.97","1.07","1.26",,"1.62"
"mvc","app-off","2","0.97","1.07","1.28",,"1.71"
"mvc","app-off","3","0.97","1.07","1.3",,"1.65"
"mvc","app-off","4","0.97","1.07","1.3",,"1.75"
"mvc","app-off","5","0.98","1.1","1.35",,"2.49"
"mvc","app-off","6","0.97","1.08","1.3",,"1.68"
"mvc","app-off","7","0.97","1.08","1.29",,"1.68"
"mvc","rt-on","1","0.93","1.02","1.23",,"1.59"
"mvc","rt-on","2","0.94","1.05","1.24",,"1.59"
"mvc","rt-on","3","0.93","1.03","1.23",,"1.58"
"mvc","rt-on","4","0.93","1.03","1.23",,"1.58"
"mvc","rt-on","5","0.93","1.04","1.25",,"1.93"
"mvc","rt-on","6","0.93","1.03","1.25",,"1.61"
"mvc","rt-on","7","0.93","1.02","1.23",,"1.6"
"plaintext","all-off","1","0.828","1.22","1.5",,"2.1"
"plaintext","all-off","2","0.824","1.21","1.5",,"2.14"
"plaintext","all-off","3","0.834","1.23","1.51",,"2.11"
"plaintext","all-off","4","0.82","1.21","1.49",,"2.09"
"plaintext","all-off","5","0.823","1.21","1.5",,"2.12"
"plaintext","all-off","6","0.826","1.22","1.5",,"2.15"
"plaintext","all-off","7","0.82","1.21","1.49",,"2.13"
"plaintext","all-on","1","0.85","1.25","1.54",,"2.18"
"plaintext","all-on","2","0.86","1.27","1.57",,"2.21"
"plaintext","all-on","3","0.85","1.26","1.55",,"2.19"
"plaintext","all-on","4","0.846","1.25","1.54",,"2.16"
"plaintext","all-on","5","0.844","1.25","1.54",,"2.18"
"plaintext","all-on","6","0.85","1.25","1.54",,"2.19"
"plaintext","all-on","7","0.85","1.26","1.54",,"2.17"
"plaintext","app-off","1","0.847","1.25","1.54",,"2.17"
"plaintext","app-off","2","0.848","1.25","1.54",,"2.18"
"plaintext","app-off","3","0.85","1.26","1.55",,"2.15"
"plaintext","app-off","4","0.848","1.25","1.54",,"2.18"
"plaintext","app-off","5","0.86","1.26","1.56",,"2.21"
"plaintext","app-off","6","0.85","1.26","1.55",,"2.15"
"plaintext","app-off","7","0.85","1.25","1.54",,"2.14"
"plaintext","rt-on","1","0.822","1.21","1.5",,"2.11"
"plaintext","rt-on","2","0.824","1.22","1.5",,"2.12"
"plaintext","rt-on","3","0.829","1.22","1.51",,"2.12"
"plaintext","rt-on","4","0.82","1.21","1.49",,"2.09"
"plaintext","rt-on","5","0.82","1.21","1.49",,"2.07"
"plaintext","rt-on","6","0.819","1.21","1.49",,"2.1"
"plaintext","rt-on","7","0.823","1.21","1.5",,"2.09"
