"RunId","Scenario","Metric","Key","HigherIsBetter","MaxSpreadPct","Separation","DeltaAllOffToAllOnPct","DeltaAppOffToAllOnPct","DeltaRuntimeLayerPct","DeltaAspNetLayerPct","all-off_median","all-off_min","all-off_max","all-off_n","rt-on_median","rt-on_min","rt-on_max","rt-on_n","app-off_median","app-off_min","app-off_max","app-off_n","all-on_median","all-on_min","all-on_max","all-on_n"
"cb200-4c","json","Requests/sec","http/rps/mean","True","5.39","complete 49/49","-5.419","-0.532","-0.177","-4.745","369515.6","367314.18","372896.63","7","368861.34","362545.86","369745.81","7","351360.34","346078.31","353933.36","7","349491.09","333718.85","352563.83","7"
"cb200-4c","json","Mean latency (ms)","http/latency/mean","False","21.17","complete 0/49","5.605","0.203","0.541","4.824","0.69297","0.68761","0.71349","7","0.69672","0.6919299999999999","0.78471","7","0.73033","0.72148","0.73863","7","0.73181","0.7250800000000001","0.88","7"
"cb200-4c","json","Latency p50 (ms)","http/latency/50","False","3.02","complete 0/49","5.499","0.552","0.145","4.769","0.691","0.685","0.696","7","0.692","0.689","0.699","7","0.725","0.721","0.737","7","0.729","0.723","0.745","7"
"cb200-4c","json","Latency p99 (ms)","http/latency/99","False","312.61","7/49","5.714","0.909","0.952","3.774","1.05","1.04","1.45","7","1.06","1.05","4.24","7","1.1","1.09","1.12","7","1.11","1.1","4.57","7"
"cb200-4c","json","Latency max (ms)","http/latency/max","False","137.36","24/49","-29.262","-29.542","-29.976","43.375","12.61","8.76","12.77","7","8.83","8.77","16.62","7","12.66","5.94","23.33","7","8.92","8.77","16.81","7"
"cb200-4c","json","Throughput (MB/s)","http/throughput","True","5.39","complete 49/49","-5.421","-0.536","-0.17","-4.749","58.85","58.5","59.39","7","58.75","57.74","58.89","7","55.96","55.12","56.37","7","55.66","53.15","56.15","7"
"cb200-4c","json","Bad responses","http/requests/badresponses","False","0","complete 0/49",,,,,"0","0","0","7","0","0","0","7","0","0","0","7","0","0","0","7"
"cb200-4c","json","App CPU (%)","benchmarks/cpu","False","2.15","17/49","0","-1.064","0","1.075","93","93","95","7","93","93","94","7","94","93","94","7","93","93","94","7"
"cb200-4c","json","Working set (MB)","benchmarks/working-set","False","1.11","complete 49/49","-2.174","0","0","-2.174","92","92","92","7","92","92","92","7","90","90","91","7","90","90","91","7"
"cb200-4c","json","Private memory (MB)","benchmarks/private-memory","False","4.86","37/49","-0.515","4.324","-4.124","-0.538","194","186","194","7","186","186","194","7","185","185","194","7","193","185","193","7"
"cb200-4c","json","Start time (ms)","benchmarks/start-time","False","18.07","19/49","0","4.403","-3.614","-0.625","166","152","182","7","160","151","171","7","159","143","164","7","166","152","179","7"
"cb200-4c","json","Published size (KB)","benchmarks/published-size","False","0","complete 49/49","-0.022","-0.022","0","0","144025","144025","144025","7","144025","144025","144025","7","144025","144025","144025","7","143994","143994","143994","7"
"cb200-4c","mvc","Requests/sec","http/rps/mean","True","4.85","complete 49/49","-5.41","-0.474","-0.556","-4.429","266805.85","262160.43","269144.65","7","265322.48","263549.38","266872.34","7","253572.56","247708.39","256451.64","7","252370.77","243580.02","255824.39","7"
"cb200-4c","mvc","Mean latency (ms)","http/latency/mean","False","10.89","1/49","5.208","0","0","5.208","0.96","0.95","1.01","7","0.96","0.96","0.98","7","1.01","1","1.05","7","1.01","1","1.11","7"
"cb200-4c","mvc","Latency p50 (ms)","http/latency/50","False","2.15","complete 0/49","5.376","1.031","0","4.301","0.93","0.92","0.94","7","0.93","0.93","0.94","7","0.97","0.97","0.98","7","0.98","0.97","0.98","7"
"cb200-4c","mvc","Latency p99 (ms)","http/latency/99","False","157.74","complete 0/49","7.006","0","1.274","5.66","1.57","1.56","1.64","7","1.59","1.58","1.93","7","1.68","1.62","2.49","7","1.68","1.65","4.3","7"
"cb200-4c","mvc","Latency max (ms)","http/latency/max","False","2211.18","19/49","18.092","10.123","3.618","3.492","9.12","8.25","209.91","7","9.45","8.1","13.71","7","9.78","7.6","11.07","7","10.77","8.24","17.37","7"
"cb200-4c","mvc","Throughput (MB/s)","http/throughput","True","4.85","complete 49/49","-5.409","-0.467","-0.57","-4.42","47.33","46.5","47.74","7","47.06","46.75","47.34","7","44.98","43.94","45.49","7","44.77","43.21","45.38","7"
"cb200-4c","mvc","Bad responses","http/requests/badresponses","False","0","complete 0/49",,,,,"0","0","0","7","0","0","0","7","0","0","0","7","0","0","0","7"
