"RunId","Scenario","Metric","Key","HigherIsBetter","MaxSpreadPct","Separation","DeltaAllOffToAllOnPct","DeltaAppOffToAllOnPct","DeltaRuntimeLayerPct","DeltaAspNetLayerPct","all-off_median","all-off_min","all-off_max","all-off_n","rt-on_median","rt-on_min","rt-on_max","rt-on_n","app-off_median","app-off_min","app-off_max","app-off_n","all-on_median","all-on_min","all-on_max","all-on_n"
"r3-cloud-arm64","fortunes","Requests/sec","http/rps/mean","True","0","n/a",,,,,"45922.93","45922.93","45922.93","1",,,,"0","43040.56","43040.56","43040.56","1",,,,"0"
"r3-cloud-arm64","fortunes","Mean latency (ms)","http/latency/mean","False","0","n/a",,,,,"5.58","5.58","5.58","1",,,,"0","5.94","5.94","5.94","1",,,,"0"
"r3-cloud-arm64","fortunes","Latency p50 (ms)","http/latency/50","False","0","n/a",,,,,"5.33","5.33","5.33","1",,,,"0","5.73","5.73","5.73","1",,,,"0"
"r3-cloud-arm64","fortunes","Latency p99 (ms)","http/latency/99","False","0","n/a",,,,,"11.16","11.16","11.16","1",,,,"0","11.82","11.82","11.82","1",,,,"0"
"r3-cloud-arm64","fortunes","Latency max (ms)","http/latency/max","False","0","n/a",,,,,"215.46","215.46","215.46","1",,,,"0","25.92","25.92","25.92","1",,,,"0"
"r3-cloud-arm64","fortunes","Throughput (MB/s)","http/throughput","True","0","n/a",,,,,"60.66","60.66","60.66","1",,,,"0","56.85","56.85","56.85","1",,,,"0"
"r3-cloud-arm64","fortunes","Bad responses","http/requests/badresponses","False","0","n/a",,,,,"0","0","0","1",,,,"0","0","0","0","1",,,,"0"
"r3-cloud-arm64","fortunes","App CPU (%)","benchmarks/cpu","False","0","n/a",,,,,"97","97","97","1",,,,"0","97","97","97","1",,,,"0"
"r3-cloud-arm64","fortunes","Working set (MB)","benchmarks/working-set","False","0","n/a",,,,,"212","212","212","1",,,,"0","218","218","218","1",,,,"0"
"r3-cloud-arm64","fortunes","Private memory (MB)","benchmarks/private-memory","False","0","n/a",,,,,"335","335","335","1",,,,"0","333","333","333","1",,,,"0"
"r3-cloud-arm64","fortunes","Start time (ms)","benchmarks/start-time","False","0","n/a",,,,,"261","261","261","1",,,,"0","263","263","263","1",,,,"0"
"r3-cloud-arm64","fortunes","Published size (KB)","benchmarks/published-size","False","0","n/a",,,,,"144025","144025","144025","1",,,,"0","144025","144025","144025","1",,,,"0"
"r3-cloud-arm64","json","Requests/sec","http/rps/mean","True","9.09","complete 49/49","-20.308","-2.821","-2.147","-16.195","233684.32","223261.1","242639.8","7","228666.59","220526.57","236519.78","7","191633.85","176193.5","193611.91","7","186228.02","178655.59","191299.51","7"
"r3-cloud-arm64","json","Mean latency (ms)","http/latency/mean","False","10.45","complete 0/49","25.688","2.239","2.752","19.643","1.09","1.05","1.14","7","1.12","1.08","1.16","7","1.34","1.32","1.46","7","1.37","1.34","1.45","7"
"r3-cloud-arm64","json","Latency p50 (ms)","http/latency/50","False","8.53","complete 0/49","25.472","3.101","1.887","19.444","1.06","1.02","1.11","7","1.08","1.04","1.12","7","1.29","1.28","1.39","7","1.33","1.29","1.37","7"
"r3-cloud-arm64","json","Latency p99 (ms)","http/latency/99","False","24.04","complete 0/49","32.258","0.702","2.765","27.803","2.17","2.1","2.45","7","2.23","2.17","2.33","7","2.85","2.61","3.24","7","2.87","2.75","3.44","7"
"r3-cloud-arm64","json","Latency max (ms)","http/latency/max","False","1600.57","30/49","-15.612","-21.597","-8.872","18.113","14.54","8.81","203.53","7","13.25","8.23","209.98","7","15.65","11.25","18.42","7","12.27","8.4","204.79","7"
"r3-cloud-arm64","json","Throughput (MB/s)","http/throughput","True","9.11","complete 49/49","-20.312","-2.818","-2.149","-16.2","37.22","35.56","38.64","7","36.42","35.12","37.67","7","30.52","28.06","30.84","7","29.66","28.45","30.47","7"
"r3-cloud-arm64","json","Bad responses","http/requests/badresponses","False","0","complete 0/49",,,,,"0","0","0","7","0","0","0","7","0","0","0","7","0","0","0","7"
"r3-cloud-arm64","json","App CPU (%)","benchmarks/cpu","False","4.17","13/49","0","0","0","0","96","95","97","7","96","92","96","7","96","94","97","7","96","95","97","7"
"r3-cloud-arm64","json","Working set (MB)","benchmarks/working-set","False","2.35","45/49","-1.149","1.176","0","-2.299","87","87","88","7","87","86","87","7","85","85","87","7","86","85","87","7"
"r3-cloud-arm64","json","Private memory (MB)","benchmarks/private-memory","False","17.89","15/49","3.804","0.526","3.804","-0.524","184","183","200","7","191","183","200","7","190","182","216","7","191","183","199","7"
"r3-cloud-arm64","json","Start time (ms)","benchmarks/start-time","False","11.31","21/49","0.905","0","3.167","-2.193","221","212","237","7","228","218","238","7","223","220","229","7","223","219","225","7"
"r3-cloud-arm64","json","Published size (KB)","benchmarks/published-size","False","0","complete 49/49","-0.022","-0.022","0","0","144025","144025","144025","7","144025","144025","144025","7","144025","144025","144025","7","143994","143994","143994","7"
