"Metric","Scenario","all-off_n","all-off","rt-on_n","rt-on","app-off_n","app-off","all-on_n","all-on","FullPct","AppPct","RtPct","AspPct","SpreadPct","Sep"
"P50","fortunes","1","5.33","0","","1","5.73","0","","","","","","",""
"P50","json","7","1.06","7","1.08","7","1.29","7","1.33","25.47","3.1","1.89","19.44","8.53","49/49"
"P50","multiple_queries","6","229.165","0","","6","232.19","7","211.34","-7.78","-8.98","","","31.07","15/42"
"P50","mvc","7","2.06","7","2.05","7","2.33","7","2.31","12.14","-0.86","-0.49","13.66","16.31","49/49"
"P50","orchard","0","","0","","7","7.915","7","7.297","","-7.81","","","11",""
"P50","plaintext","7","1.41","7","1.45","7","1.65","7","1.63","15.6","-1.21","2.84","13.79","7.09","49/49"
"P75","fortunes","1","6.13","0","","1","6.46","0","","","","","","",""
"P75","json","7","1.27","7","1.3","7","1.54","7","1.59","25.2","3.25","2.36","18.46","10.39","49/49"
"P75","multiple_queries","6","244.47","0","","6","258.25","7","226.52","-7.34","-12.29","","","31.57","14/42"
"P75","mvc","7","2.52","7","2.49","7","2.85","7","2.82","11.9","-1.05","-1.19","14.46","16.49","48/49"
"P75","orchard","0","","0","","7","13.324","7","12.405","","-6.9","","","10.37",""
"P75","plaintext","7","2.1","7","2.16","7","2.45","7","2.41","14.76","-1.63","2.86","13.43","7.14","49/49"
"P90","fortunes","1","7.35","0","","1","7.48","0","","","","","","",""
"P90","json","7","1.49","7","1.52","7","1.81","7","1.85","24.16","2.21","2.01","19.08","11.6","49/49"
"P90","multiple_queries","6","259.755","0","","6","277.35","7","243.99","-6.07","-12.03","","","32.31","14/42"
"P90","mvc","7","3.07","7","2.96","7","3.5","7","3.48","13.36","-0.57","-3.58","18.24","22.8","43/49"
"P90","orchard","0","","0","","7","21.221","7","19.612","","-7.58","","","9.39",""
"P90","plaintext","7","2.71","7","2.8","7","3.18","7","3.15","16.24","-0.94","3.32","13.57","7.86","49/49"
"P99","fortunes","1","11.16","0","","1","11.82","0","","","","","","",""
"P99","json","7","2.17","7","2.23","7","2.85","7","2.87","32.26","0.7","2.76","27.8","24.04","49/49"
"P99","multiple_queries","6","303","0","","6","331.725","7","286.29","-5.51","-13.7","","","46.9","19/42"
"P99","mvc","7","5.47","7","4.79","7","6.23","7","7.22","31.99","15.89","-12.43","30.06","48.99","41/49"
"P99","orchard","0","","0","","7","41.756","7","38.08","","-8.8","","","16.38",""
"P99","plaintext","7","4.31","7","4.49","6","5.305","6","5","16.01","-5.75","4.18","18.15","152","40/42"
