"Metric","Scenario","all-off_n","all-off","rt-on_n","rt-on","app-off_n","app-off","all-on_n","all-on","FullPct","AppPct","RtPct","AspPct","SpreadPct","Sep"
"P50","fortunes","5","0.381","5","0.378","5","0.4","5","0.4","4.99","0","-0.79","5.82","2.1","25/25"
"P50","fortunes_ef","5","0.462","5","0.464","5","0.478","5","0.474","2.6","-0.84","0.43","3.02","1.9","25/25"
"P50","json","5","0.125","5","0.123","5","0.13","5","0.13","4","0","-1.6","5.69","2.4","25/25"
"P50","multiple_queries","5","9.92","5","9.79","5","9.82","5","9.83","-0.91","0.1","-1.31","0.31","2.75","6/25"
"P50","mvc","5","0.19","5","0.188","5","0.203","5","0.206","8.42","1.48","-1.05","7.98","4.74","25/25"
"P50","orchard","0","","0","","5","1.492","5","1.447","","-3.02","","","12.67",""
"P50","plaintext","5","0.291","5","0.295","5","0.306","5","0.303","4.12","-0.98","1.37","3.73","8.14","24/25"
"P75","fortunes","5","0.513","5","0.515","5","0.543","5","0.544","6.04","0.18","0.39","5.44","2.92","25/25"
"P75","fortunes_ef","5","0.645","5","0.648","5","0.691","5","0.679","5.27","-1.74","0.47","6.64","2.32","25/25"
"P75","json","5","0.171","5","0.165","5","0.18","5","0.18","5.26","0","-3.51","9.09","2.92","25/25"
"P75","multiple_queries","5","11.16","5","10.99","5","11.06","5","11.07","-0.81","0.09","-1.52","0.64","2.17","6/25"
"P75","mvc","5","0.302","5","0.304","5","0.321","5","0.334","10.6","4.05","0.66","5.59","7.62","25/25"
"P75","orchard","0","","0","","5","1.833","5","1.723","","-6","","","15.17",""
"P75","plaintext","5","0.563","5","0.595","5","0.605","5","0.598","6.22","-1.16","5.68","1.68","12.44","23/25"
"P90","fortunes","5","0.785","5","0.795","5","0.839","5","0.85","8.28","1.31","1.27","5.53","6.44","25/25"
"P90","fortunes_ef","5","0.94","5","0.95","5","0.99","5","0.98","4.26","-1.01","1.06","4.21","2.13","25/25"
"P90","json","5","0.236","5","0.227","5","0.246","5","0.248","5.08","0.81","-3.81","8.37","3.81","25/25"
"P90","multiple_queries","5","12.39","5","12.17","5","12.28","5","12.29","-0.81","0.08","-1.78","0.9","2.36","5/25"
"P90","mvc","5","0.575","5","0.596","5","0.588","5","0.668","16.17","13.61","3.65","-1.34","17.95","19/25"
"P90","orchard","0","","0","","5","2.391","5","2.199","","-8.03","","","15.06",""
"P90","plaintext","5","1.13","5","1.29","5","1.27","5","1.24","9.73","-2.36","14.16","-1.55","20.35","20/25"
"P99","fortunes","5","2.22","5","2.27","5","2.27","5","2.33","4.95","2.64","2.25","0","15.42","17/25"
"P99","fortunes_ef","5","2.07","5","2.1","5","2.21","5","2.16","4.35","-2.26","1.45","5.24","4.83","24/25"
"P99","json","5","0.377","5","0.394","5","0.415","5","0.414","9.81","-0.24","4.51","5.33","4.06","25/25"
"P99","multiple_queries","5","14.72","5","14.4","5","14.57","5","14.67","-0.34","0.69","-2.17","1.18","2.57","6/25"
"P99","mvc","5","1.3","5","1.33","5","1.45","5","1.46","12.31","0.69","2.31","9.02","11.03","25/25"
"P99","orchard","0","","0","","5","5.28","5","5.043","","-4.49","","","8.71",""
