"RunId","Scenario","Metric","Key","HigherIsBetter","MaxSpreadPct","Separation","DeltaAllOffToAllOnPct","DeltaAppOffToAllOnPct","DeltaRuntimeLayerPct","DeltaAspNetLayerPct","all-off_median","all-off_min","all-off_max","all-off_n","rt-on_median","rt-on_min","rt-on_max","rt-on_n","app-off_median","app-off_min","app-off_max","app-off_n","all-on_median","all-on_min","all-on_max","all-on_n"
"r3-gold-x64","fortunes","Requests/sec","http/rps/mean","True","2.52","complete 25/25","-5.26","-0.594","-0.01","-4.684","578712.54","569741.64","584299.41","5","578654.76","576981.91","580314","5","551550.43","545386.29","552742.51","5","548271.48","547100.64","554389.08","5"
"r3-gold-x64","fortunes","Mean latency (ms)","http/latency/mean","False","5.36","complete 0/25","5.956","1.056","1.211","3.594","0.48963","0.48591","0.50812","5","0.49556","0.48684","0.50252","5","0.51337","0.50378","0.5313","5","0.51879","0.5174","0.53095","5"
"r3-gold-x64","fortunes","Latency p50 (ms)","http/latency/50","False","2.1","complete 0/25","4.987","0","-0.787","5.82","0.381","0.375","0.383","5","0.378","0.376","0.38","5","0.4","0.399","0.4","5","0.4","0.395","0.402","5"
"r3-gold-x64","fortunes","Latency p99 (ms)","http/latency/99","False","15.42","7/25","4.955","2.643","2.252","0","2.22","2.17","2.42","5","2.27","2.14","2.43","5","2.27","2.13","2.48","5","2.33","2.27","2.49","5"
"r3-gold-x64","fortunes","Latency max (ms)","http/latency/max","False","42.08","11/25","0.132","12.012","-6.258","-4.638","15.18","13.36","18.27","5","14.23","12.69","16.6","5","13.57","11.79","17.5","5","15.2","13.37","16.6","5"
"r3-gold-x64","fortunes","Throughput (MB/s)","http/throughput","True","2.52","complete 25/25","-5.26","-0.594","-0.01","-4.684","764.39","752.54","771.77","5","764.31","762.1","766.5","5","728.51","720.37","730.08","5","724.18","722.63","732.26","5"
"r3-gold-x64","fortunes","Bad responses","http/requests/badresponses","False","0","complete 0/25",,,,,"0","0","0","5","0","0","0","5","0","0","0","5","0","0","0","5"
"r3-gold-x64","fortunes","App CPU (%)","benchmarks/cpu","False","8.05","18/25","-1.149","0","0","-1.149","87","86","93","5","87","86","88","5","86","85","87","5","86","85","88","5"
"r3-gold-x64","fortunes","Working set (MB)","benchmarks/working-set","False","8.33","13/25","-0.913","0.463","-0.913","-0.461","219","216","221","5","217","212","225","5","216","204","222","5","217","208","222","5"
"r3-gold-x64","fortunes","Private memory (MB)","benchmarks/private-memory","False","2.11","9/25","0.176","1.333","-0.791","-0.354","1138","1129","1138","5","1129","1127","1144","5","1125","1118","1141","5","1140","1118","1142","5"
"r3-gold-x64","fortunes","Start time (ms)","benchmarks/start-time","False","6.9","17/25","-1.101","-1.319","0","0.22","454","429","457","5","454","433","460","5","455","433","458","5","449","425","456","5"
"r3-gold-x64","fortunes","Published size (KB)","benchmarks/published-size","False","0","complete 25/25","-0.022","-0.022","0","0","138740","138740","138740","5","138740","138740","138740","5","138740","138740","138740","5","138709","138709","138709","5"
"r3-gold-x64","fortunes_ef","Requests/sec","http/rps/mean","True","1.18","complete 25/25","-3.638","1.266","-0.534","-4.332","477106.44","473684.27","479038.33","5","474558.9","472663.33","477371.42","5","454000.93","452076.46","457430.59","5","459747.24","456597.25","460808.54","5"
"r3-gold-x64","fortunes_ef","Mean latency (ms)","http/latency/mean","False","1.75","complete 0/25","3.75","-1.208","0.435","4.564","0.56502","0.56055","0.57045","5","0.56748","0.56549","0.57102","5","0.59338","0.5893400000000001","0.5969500000000001","5","0.58621","0.58454","0.5896399999999999","5"
"r3-gold-x64","fortunes_ef","Latency p50 (ms)","http/latency/50","False","1.9","complete 0/25","2.597","-0.837","0.433","3.017","0.462","0.457","0.464","5","0.464","0.459","0.467","5","0.478","0.473","0.482","5","0.474","0.471","0.48","5"
"r3-gold-x64","fortunes_ef","Latency p99 (ms)","http/latency/99","False","4.83","complete 0/25","4.348","-2.262","1.449","5.238","2.07","2.02","2.12","5","2.1","2.06","2.13","5","2.21","2.15","2.25","5","2.16","2.12","2.18","5"
"r3-gold-x64","fortunes_ef","Latency max (ms)","http/latency/max","False","49.82","13/25","-5.101","0.928","3.826","-9.438","14.9","12.1","16.07","5","15.47","13.46","16.73","5","14.01","11.12","18.1","5","14.14","13.62","15.79","5"
"r3-gold-x64","fortunes_ef","Throughput (MB/s)","http/throughput","True","1.18","complete 25/25","-3.639","1.266","-0.533","-4.333","630.18","625.66","632.73","5","626.82","624.31","630.53","5","599.66","597.12","604.19","5","607.25","603.09","608.65","5"
"r3-gold-x64","fortunes_ef","Bad responses","http/requests/badresponses","False","0","complete 0/25",,,,,"0","0","0","5","0","0","0","5","0","0","0","5","0","0","0","5"
"r3-gold-x64","fortunes_ef","App CPU (%)","benchmarks/cpu","False","2.27","8/25","0","0","0","0","88","87","88","5","88","88","88","5","88","88","89","5","88","87","89","5"
"r3-gold-x64","fortunes_ef","Working set (MB)","benchmarks/working-set","False","5.47","9/25","0.392","-0.389","-0.784","1.581","255","252","258","5","253","245","255","5","257","251","264","5","256","249","263","5"
"r3-gold-x64","fortunes_ef","Private memory (MB)","benchmarks/private-memory","False","3.47","13/25","-0.343","-1.524","-1.2","2.428","1167","1144","1183","5","1153","1147","1187","5","1181","1162","1187","5","1163","1148","1181","5"
"r3-gold-x64","fortunes_ef","Start time (ms)","benchmarks/start-time","False","40.58","17/25","-1.754","-0.665","0.439","-1.528","456","440","459","5","458","433","462","5","451","275","458","5","448","296","458","5"
"r3-gold-x64","fortunes_ef","Published size (KB)","benchmarks/published-size","False","0","complete 25/25","-0.022","-0.022","0","0","138740","138740","138740","5","138740","138740","138740","5","138740","138740","138740","5","138709","138709","138709","5"
"r3-gold-x64","json","Requests/sec","http/rps/mean","True","1.82","complete 25/25","-3.482","-0.238","1.974","-5.125","1760652.26","1749269.49","1779368.96","5","1795414.92","1794177.85","1801064.37","5","1703398.51","1697064.36","1718146.31","5","1699345.53","1695882.79","1726786.37","5"
"r3-gold-x64","json","Mean latency (ms)","http/latency/mean","False","2.39","complete 0/25","4.526","-0.192","-1.444","6.261","0.14407","0.1424","0.14585","5","0.14199","0.1418","0.14262","5","0.15088","0.14895","0.15172999999999998","5","0.15059","0.14829","0.15113","5"
"r3-gold-x64","json","Latency p50 (ms)","http/latency/50","False","2.4","complete 0/25","4","0","-1.6","5.691","0.125","0.124","0.127","5","0.123","0.122","0.123","5","0.13","0.129","0.13","5","0.13","0.128","0.131","5"
"r3-gold-x64","json","Latency p99 (ms)","http/latency/99","False","4.06","complete 0/25","9.814","-0.241","4.509","5.33","0.377","0.374","0.386","5","0.394","0.385","0.401","5","0.415","0.41","0.424","5","0.414","0.407","0.42","5"
"r3-gold-x64","json","Latency max (ms)","http/latency/max","False","65.35","19/25","-17.701","-16.744","-12.759","13.307","8.7","6.59","10.27","5","7.59","6.63","11.59","5","8.6","6.24","10.23","5","7.16","6.03","7.91","5"
"r3-gold-x64","json","Throughput (MB/s)","http/throughput","True","1.82","complete 25/25","-3.484","-0.24","1.972","-5.123","280.41","278.59","283.39","5","285.94","285.75","286.84","5","271.29","270.28","273.64","5","270.64","270.09","275.01","5"
"r3-gold-x64","json","Bad responses","http/requests/badresponses","False","0","complete 0/25",,,,,"0","0","0","5","0","0","0","5","0","0","0","5","0","0","0","5"
"r3-gold-x64","json","App CPU (%)","benchmarks/cpu","False","2.27","complete 0/25","0","0","0","0","88","88","88","5","88","87","89","5","88","88","89","5","88","88","89","5"
"r3-gold-x64","json","Working set (MB)","benchmarks/working-set","False","3","complete 25/25","-4","0","-1","-3.03","100","99","102","5","99","98","100","5","96","95","97","5","96","96","97","5"
"r3-gold-x64","json","Private memory (MB)","benchmarks/private-memory","False","10.66","22/25","-2.242","2.081","-1.121","-3.149","803","781","803","5","794","730","803","5","769","720","802","5","785","770","794","5"
"r3-gold-x64","json","Start time (ms)","benchmarks/start-time","False","37.3","22/25","-1.857","-4.639","-1.061","4.021","377","374","389","5","373","371","390","5","388","369","389","5","370","242","380","5"
