x64 - aspnet-gold-lin-relay (56 cores, Linux x64)
Scenario	All off	Rt on	App off	All on	Full stack %	Runtime %	ASP.NET %	App only %	Spread %	Separation
plaintext	9087742	9190732	8842362	8835504	-2.776	1.133	-3.79	-0.078	5.56	complete 25/25
json	1760652	1795415	1703399	1699346	-3.482	1.974	-5.125	-0.238	1.82	complete 25/25
mvc	1078816	1074502	1022221	997700	-7.519	-0.4	-4.866	-2.399	6.16	complete 25/25
fortunes	578713	578655	551550	548271	-5.26	-0.01	-4.684	-0.594	2.52	complete 25/25
fortunes_ef	477106	474559	454001	459747	-3.638	-0.534	-4.332	1.266	1.18	complete 25/25
multiple_queries	50555	51279	50964	50990	0.86	1.433	-0.614	0.05	2.5	6/25
orchard			18387	19242				4.648	10.61	n/a

Scenario	Percentile	All off	Rt on	App off	All on	Full stack %	Runtime %	ASP.NET %	App only %
fortunes	P50	0.38	0.38	0.40	0.40	4.99	-0.79	5.82	0
fortunes	P90	0.79	0.80	0.84	0.85	8.28	1.27	5.53	1.31
fortunes_ef	P50	0.46	0.46	0.48	0.47	2.6	0.43	3.02	-0.84
fortunes_ef	P90	0.94	0.95	0.99	0.98	4.26	1.06	4.21	-1.01
json	P50	0.13	0.12	0.13	0.13	4	-1.6	5.69	0
json	P90	0.24	0.23	0.25	0.25	5.08	-3.81	8.37	0.81
multiple_queries	P50	9.92	9.79	9.82	9.83	-0.91	-1.31	0.31	0.1
multiple_queries	P90	12.39	12.17	12.28	12.29	-0.81	-1.78	0.9	0.08
mvc	P50	0.19	0.19	0.20	0.21	8.42	-1.05	7.98	1.48
mvc	P90	0.58	0.60	0.59	0.67	16.17	3.65	-1.34	13.61
orchard	P50			1.49	1.45				-3.02
orchard	P90			2.39	2.20				-8.03
plaintext	P50	0.29	0.30	0.31	0.30	4.12	1.37	3.73	-0.98
plaintext	P90	1.13	1.29	1.27	1.24	9.73	14.16	-1.55	-2.36

Arm64 - cobalt-cloud-lin-al3-relay (4 cores, Azure Linux 3 Arm64 VM)
Scenario	All off	Rt on	App off	All on	Full stack %	Runtime %	ASP.NET %	App only %	Spread %	Separation
plaintext	1579252	1537394	1360593	1372666	-13.081	-2.65	-11.5	0.887	6.7	complete 49/49
json	233684	228667	191634	186228	-20.308	-2.147	-16.195	-2.821	9.09	complete 49/49
mvc	118692	120371	103161	105695	-10.951	1.414	-14.297	2.456	18	48/49
orchard			3089	3349				8.388	8.29	n/a
multiple_queries	2200		2146	2384	8.361			11.085	30.32	15/42
Excluded (runs failed): fortunes

Scenario	Percentile	All off	Rt on	App off	All on	Full stack %	Runtime %	ASP.NET %	App only %
json	P50	1.06	1.08	1.29	1.33	25.47	1.89	19.44	3.1
json	P90	1.49	1.52	1.81	1.85	24.16	2.01	19.08	2.21
multiple_queries	P50	229.17		232.19	211.34	-7.78			-8.98
multiple_queries	P90	259.76		277.35	243.99	-6.07			-12.03
mvc	P50	2.06	2.05	2.33	2.31	12.14	-0.49	13.66	-0.86
mvc	P90	3.07	2.96	3.50	3.48	13.36	-3.58	18.24	-0.57
orchard	P50			7.92	7.30				-7.81
orchard	P90			21.22	19.61				-7.58
plaintext	P50	1.41	1.45	1.65	1.63	15.6	2.84	13.79	-1.21
plaintext	P90	2.71	2.80	3.18	3.15	16.24	3.32	13.57	-0.94

Arm64 Cobalt 200 - cobalt200-lin-al3-relay (128-core host, app confined to 4 cores via cpuSet 0-3)
Scenario	All off	Rt on	App off	All on	Full stack %	Runtime %	ASP.NET %	App only %	Spread %	Separation
plaintext	2719326	2723722	2636480	2635472	-3.084	0.162	-3.203	-0.038	2.31	complete 49/49
json	369516	368861	351360	349491	-5.419	-0.177	-4.745	-0.532	5.39	complete 49/49
mvc	266806	265322	253573	252371	-5.41	-0.556	-4.429	-0.474	4.85	complete 49/49

Scenario	Percentile	All off	Rt on	App off	All on	Full stack %	Runtime %	ASP.NET %	App only %
json	P50	0.69	0.69	0.73	0.73	5.5	0.14	4.77	0.55
json	P90	0.84	0.84	0.88	0.88	4.76	0.12	4.64	0
mvc	P50	0.93	0.93	0.97	0.98	5.38	0	4.3	1.03
mvc	P90	1.23	1.23	1.30	1.31	6.5	0	5.69	0.77
plaintext	P50	0.82	0.82	0.85	0.85	3.16	-0.24	3.41	0
plaintext	P90	1.50	1.50	1.54	1.54	2.67	0	2.67	0


